,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,reviews_per_month,bathrooms_quantity,wifi,tv,hot_water,kitchen,pets_allowed,free_parking,pool,bathroom_is_shared,bathrooms_type,price_range
20028,f,t,Copacabana,-22.96908,-43.18693,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,291.0,1,1125,1,t,0.34,1.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
20029,f,t,Ipanema,-22.98666,-43.19387,Entire rental unit,Entire home/apt,2,2 baths,1.0,2.0,324.0,1,1125,1,t,0.19,2.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
20030,f,t,Leblon,-22.98624,-43.22428,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,906.0,1,1125,5,t,0.65,2.0,1,1,0,1,0,0,0,0,bath,\$750 - \$100
20031,f,t,Barra da Tijuca,-23.0093,-43.33278,Entire rental unit,Entire home/apt,4,2.5 baths,2.0,2.0,613.0,1,1125,1,t,0.12,2.5,1,1,0,1,0,1,1,0,bath,\$501 - \$750
20032,f,t,Copacabana,-22.97405,-43.18623,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,227.0,1,1125,7,t,1.74,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
20033,f,t,Ipanema,-22.98553,-43.19723,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,453.0,1,1125,8,t,1.47,2.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
20034,f,t,Copacabana,-22.97509,-43.18854,Room in aparthotel,Private room,2,1 bath,1.0,1.0,259.0,1,1125,2,t,0.23,1.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
20035,f,t,Ipanema,-22.98346,-43.20922,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,518.0,1,1125,3,t,0.63,1.0,1,1,0,1,0,1,0,0,bath,\$501 - \$750
20036,f,t,Copacabana,-22.973,-43.18729,Entire rental unit,Entire home/apt,4,1 bath,1.0,4.0,388.0,1,1125,1,t,1.0,1.0,1,1,0,0,0,0,0,0,bath,\$251 - \$500
20037,f,t,Copacabana,-22.96689,-43.18372,Entire rental unit,Entire home/apt,4,2.5 baths,2.0,3.0,453.0,1,1125,0,t,0.0,2.5,1,1,0,1,0,0,0,0,bath,\$251 - \$500
20038,f,t,Ipanema,-22.98696,-43.19041,Entire rental unit,Entire home/apt,8,3.5 baths,4.0,6.0,1035.0,1,1125,5,t,0.5,3.5,1,1,0,1,0,0,0,0,bath,> \$1000
20039,f,t,Copacabana,-22.97054,-43.18333,Entire rental unit,Entire home/apt,6,2.5 baths,3.0,4.0,453.0,1,1125,3,t,1.84,2.5,1,1,0,1,0,0,0,0,bath,\$251 - \$500
20040,f,t,Barra da Tijuca,-23.00626,-43.32554,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,356.0,1,1125,3,t,0.48,2.0,1,1,0,1,0,1,1,0,bath,\$251 - \$500
20041,f,t,Copacabana,-22.98282,-43.18947,Entire rental unit,Entire home/apt,6,2 baths,2.0,3.0,485.0,1,1125,3,t,3.0,2.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
20042,f,t,Copacabana,-22.97422,-43.18719,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,324.0,1,1125,2,t,0.97,1.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
20043,f,t,Lagoa,-22.97596,-43.19727,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,388.0,1,1125,2,t,1.82,2.0,1,1,0,1,0,1,0,0,bath,\$251 - \$500
20044,f,t,Leblon,-22.985001,-43.227474,Entire rental unit,Entire home/apt,3,1 bath,2.0,2.0,450.0,2,1125,4,t,1.1,1.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
20045,f,t,Recreio dos Bandeirantes,-23.02741,-43.47633,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,150.0,3,7,9,t,0.91,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
20046,f,t,Ipanema,-22.98629,-43.20511,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,712.0,1,1125,1,t,0.11,2.0,1,1,0,1,0,1,0,0,bath,\$501 - \$750
20047,f,t,Barra da Tijuca,-23.00719,-43.36657,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,545.0,1,1125,1,t,0.14,2.0,1,1,0,1,0,1,1,0,bath,\$501 - \$750
20048,f,t,Leblon,-22.98564,-43.22241,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,782.0,1,1125,4,t,0.46,2.0,1,1,0,1,0,0,0,0,bath,\$750 - \$100
20049,f,t,Copacabana,-22.96536,-43.18039,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,259.0,1,1125,3,t,0.35,1.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
20050,f,t,Ipanema,-22.98533,-43.20624,Entire rental unit,Entire home/apt,4,1.5 baths,1.0,2.0,356.0,1,1125,4,t,0.97,1.5,1,1,0,1,0,0,0,0,bath,\$251 - \$500
20051,f,t,Copacabana,-22.9681,-43.18001,Entire rental unit,Entire home/apt,7,2 baths,2.0,4.0,777.0,1,1125,0,t,0.0,2.0,1,1,0,1,0,0,0,0,bath,\$750 - \$100
20052,f,t,Copacabana,-22.98581,-43.19088,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,259.0,1,1125,1,t,1.0,1.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
